county,year,真实单产,随机森林(RF)_预测单产,随机森林(RF)_残差,随机森林(RF)_绝对误差,LSTM_预测单产,LSTM_残差,LSTM_绝对误差,Bi-LSTM_预测单产,Bi-LSTM_残差,Bi-LSTM_绝对误差
资阳区,2018,6.36635792017641,6.408740758493037,0.04238283831662759,0.04238283831662759,6.422514,0.05615604161558263,0.05615604161558263,6.357403362079292,-0.008954558097117982,0.008954558097117982
云溪区,2017,6.611641628424484,6.922056481611735,0.31041485318725126,0.31041485318725126,6.772596,0.16095425399128782,0.16095425399128782,6.623086184874308,0.011444556449824006,0.011444556449824006
平江县,2012,6.069643676403119,6.215799912377301,0.14615623597418193,0.14615623597418193,6.224902,0.1552584766120173,0.1552584766120173,6.062517163399932,-0.007126513003187007,0.007126513003187007
石首市,2021,8.011059907834102,7.9093253175531615,-0.101734590280941,0.101734590280941,8.038744,0.027684064944217823,0.027684064944217823,8.085243213438632,0.07418330560452979,0.07418330560452979
澧县,2018,6.897876372962836,6.810025137942341,-0.08785123502049519,0.08785123502049519,6.7956567,-0.10221969190204483,0.10221969190204483,6.898155184257969,0.00027881129513307457,0.00027881129513307457
石门县,2020,6.604748335460724,6.92334190673625,0.31859357127552634,0.31859357127552634,7.000728,0.39597979487985224,0.39597979487985224,6.7077484383122234,0.10300010285149952,0.10300010285149952
洪湖市,2019,8.60330117576123,8.469667134325618,-0.1336340414356112,0.1336340414356112,8.5707035,-0.032597669291503095,0.032597669291503095,8.564839525146708,-0.038461650614522114,0.038461650614522114
监利市,2014,8.510164835164835,8.275865249346047,-0.2342995858187873,0.2342995858187873,8.439552,-0.07061252803592843,0.07061252803592843,8.30140049628413,-0.20876433888070522,0.20876433888070522
荆州区,2019,8.073184152604549,7.56444119958073,-0.5087429530238188,0.5087429530238188,7.9194613,-0.15372290229937313,0.15372290229937313,8.093152012465318,0.019967859860768655,0.019967859860768655
沙市区,2012,5.371333333333333,5.850781389237882,0.4794480559045491,0.4794480559045491,5.6076455,0.23631217829386397,0.23631217829386397,5.628885463617634,0.25755213028430113,0.25755213028430113
洪湖市,2014,9.30272799365583,8.639933165633227,-0.6627948280226033,0.6627948280226033,8.696188,-0.6065400206333695,0.6065400206333695,8.858194597832558,-0.44453339582327267,0.44453339582327267
石门县,2014,4.730592543275632,6.146726229095548,1.4161336858199158,1.4161336858199158,6.0758247,1.345232194273196,1.345232194273196,5.620337942096872,0.8897453988212396,0.8897453988212396
赫山区,2012,6.5706328415827935,6.433351291087774,-0.1372815504950191,0.1372815504950191,6.350023,-0.22061004876663137,0.22061004876663137,6.425890588679079,-0.14474225290371479,0.14474225290371479
江陵县,2014,7.065685640362225,7.059229093519524,-0.0064565468427009165,0.0064565468427009165,6.4757853,-0.5899003849300959,0.5899003849300959,6.842664676038256,-0.22302096432396912,0.22302096432396912
南县,2019,6.723968696113543,6.848126837028879,0.12415814091533584,0.12415814091533584,6.863901,0.1399324421921211,0.1399324421921211,6.905807962979147,0.18183926686560437,0.18183926686560437
公安县,2015,8.14626585928489,8.167667090033616,0.021401230748725908,0.021401230748725908,8.378895,0.23262894662331313,0.23262894662331313,8.007263335811713,-0.13900252347317732,0.13900252347317732
君山区,2015,6.155461095100865,6.103178533593606,-0.05228256150725841,0.05228256150725841,6.105743,-0.04971816373489801,0.04971816373489801,6.132849822283958,-0.022611272816907224,0.022611272816907224
武陵区,2020,6.801261163508889,6.397475377305799,-0.40378578620309025,0.40378578620309025,6.1997223,-0.6015388734698268,0.6015388734698268,6.198784510138996,-0.6024766533698935,0.6024766533698935
荆州区,2020,8.133602347762288,7.762099399039533,-0.371502948722755,0.371502948722755,7.878538,-0.2550642160484209,0.2550642160484209,7.932396140465483,-0.2012062072968055,0.2012062072968055
汉寿县,2018,6.325544876240611,6.27517357123129,-0.05037130500932019,0.05037130500932019,6.3859906,0.06044574341881326,0.06044574341881326,6.375067019298193,0.04952214305758229,0.04952214305758229
平江县,2013,5.938688574471322,6.095623271553981,0.15693469708265884,0.15693469708265884,6.03949,0.10080164845958617,0.10080164845958617,5.707392247853918,-0.23129632661740374,0.23129632661740374
石门县,2013,4.618239625167336,6.04687031141503,1.4286306862476943,1.4286306862476943,5.989132,1.3708923023228987,1.3708923023228987,5.449434322289994,0.8311946971226583,0.8311946971226583
华容县,2017,6.333892824626444,6.1095609288976345,-0.22433189572880963,0.22433189572880963,6.2403274,-0.09356546638059449,0.09356546638059449,6.299742016030988,-0.03415080859545583,0.03415080859545583
津市市,2014,5.901004366812227,5.902365583484148,0.0013612166719205732,0.0013612166719205732,5.9018726,0.0008682680754681371,0.0008682680754681371,5.85964026790637,-0.04136409890585746,0.04136409890585746
资阳区,2021,6.568621173689265,6.494418222670627,-0.07420295101863772,0.07420295101863772,6.4598107,-0.108810439894099,0.108810439894099,6.379314947180094,-0.18930622650917073,0.18930622650917073
桃江县,2012,5.840921312063093,5.99303469291651,0.1521133808534163,0.1521133808534163,5.966942,0.12602052143300035,0.12602052143300035,5.94197823902442,0.10105692696132618,0.10105692696132618
桃江县,2019,6.085105184072126,6.4059861104253,0.32088092635317444,0.32088092635317444,6.486408,0.40130304957045215,0.40130304957045215,6.362511335093616,0.27740615102149047,0.27740615102149047
岳阳县,2012,6.158254117017004,6.17651735580729,0.018263238790285463,0.018263238790285463,6.2247343,0.0664801893184448,0.0664801893184448,6.12951163784304,-0.028742479173964774,0.028742479173964774
临澧县,2018,6.372839587547324,6.253128406764828,-0.11971118078249532,0.11971118078249532,6.3616524,-0.011187213279745478,0.011187213279745478,6.313668475991425,-0.059171111555898825,0.059171111555898825
安乡县,2020,6.538009958304659,6.707036270695753,0.169026312391094,0.169026312391094,6.7529254,0.2149154376609168,0.2149154376609168,6.6572166621621625,0.1192067038575031,0.1192067038575031
桃江县,2016,5.66960242467463,5.934754514946603,0.2651520902719735,0.2651520902719735,6.0187507,0.34914824289739155,0.34914824289739155,5.962271463450814,0.2926690387761841,0.2926690387761841
临湘市,2019,6.342708120269994,6.482222461187279,0.13951434091728476,0.13951434091728476,6.374864,0.03215598113991813,0.03215598113991813,6.320072305730639,-0.02263581453935526,0.02263581453935526
安乡县,2019,6.782958888707454,6.7168677722718595,-0.06609111643559462,0.06609111643559462,6.812321,0.029362297358219713,0.029362297358219713,6.782242602003495,-0.0007162867039589571,0.0007162867039589571
桃江县,2017,6.029261756187816,5.9578052308648966,-0.0714565253229198,0.0714565253229198,6.031255,0.0019930121837656856,0.0019930121837656856,5.940296512292468,-0.08896524389534832,0.08896524389534832
荆州区,2016,5.480830972615675,6.024767818473972,0.5439368458582967,0.5439368458582967,5.543732,0.062901193674608,0.062901193674608,5.560072931539395,0.07924195892371966,0.07924195892371966
荆州区,2012,5.48454020435362,5.797113468571703,0.3125732642180825,0.3125732642180825,5.4975815,0.013041277579973531,0.013041277579973531,5.486710951396932,0.0021707470433121046,0.0021707470433121046
武陵区,2015,5.230696352439602,5.608790815134385,0.37809446269478286,0.37809446269478286,5.628691,0.39799484400204843,0.39799484400204843,5.600911356462667,0.3702150040230654,0.3702150040230654
临湘市,2015,5.923714397957179,5.880772701942159,-0.04294169601501974,0.04294169601501974,6.0182285,0.09451413292661037,0.09451413292661037,5.792627698465372,-0.1310866994918065,0.1310866994918065
汉寿县,2015,5.935680321872714,5.8584428213699,-0.07723750050281364,0.07723750050281364,5.8121314,-0.1235489169960049,0.1235489169960049,5.724979541894893,-0.2107007799778211,0.2107007799778211
汉寿县,2014,5.859783112429327,5.843698803392549,-0.0160843090367786,0.0160843090367786,5.7394624,-0.12032073678845823,0.12032073678845823,5.676043744923634,-0.18373936750569353,0.18373936750569353
澧县,2012,6.370632804826715,6.333949318265027,-0.03668348656168785,0.03668348656168785,6.209735,-0.1608978881397034,0.1608978881397034,6.187716445558718,-0.1829163592679972,0.1829163592679972
君山区,2012,6.207692307692308,6.125772627420469,-0.08191968027183893,0.08191968027183893,6.185142,-0.022550267439622296,0.022550267439622296,6.142126703750202,-0.06556560394210553,0.06556560394210553
石门县,2017,6.566451335368727,7.137125047458998,0.5706737120902705,0.5706737120902705,7.5479245,0.9814731832164778,0.9814731832164778,6.89481782143571,0.32836648606698304,0.32836648606698304
安乡县,2017,6.4006224103532166,6.017456095827884,-0.3831663145253321,0.3831663145253321,6.0821652,-0.3184571691117615,0.3184571691117615,5.971881890004705,-0.4287405203485113,0.4287405203485113
江陵县,2016,6.434574468085105,7.353603501008107,0.9190290329230013,0.9190290329230013,7.0624084,0.6278339791805196,0.6278339791805196,7.10430670032137,0.6697322322362647,0.6697322322362647
临澧县,2019,6.488564854841658,6.269936194110321,-0.21862866073133702,0.21862866073133702,6.3781486,-0.11041629908604289,0.11041629908604289,6.353807981149194,-0.13475687369246447,0.13475687369246447
云溪区,2016,6.604143126177025,6.9262742038969245,0.3221310777198996,0.3221310777198996,6.7468853,0.14274217350559226,0.14274217350559226,6.629200622973478,0.025057496796453194,0.025057496796453194
江陵县,2012,6.919528269164066,6.732589494822553,-0.18693877434151318,0.18693877434151318,6.3053265,-0.6142018073720736,0.6142018073720736,6.652926077872001,-0.26660219129206464,0.26660219129206464
平江县,2020,6.76904370703556,6.539371486975316,-0.22967222006024368,0.22967222006024368,6.44794,-0.3211038342938606,0.3211038342938606,6.366179045486833,-0.402864661548727,0.402864661548727
洪湖市,2013,9.335659421474098,8.462008197365618,-0.87365122410848,0.87365122410848,8.748615,-0.5870441565815199,0.5870441565815199,8.651638751903956,-0.6840206695701418,0.6840206695701418
安乡县,2018,6.694892229899896,6.629899479690847,-0.06499275020904882,0.06499275020904882,6.678318,-0.016574206218255227,0.016574206218255227,6.756557025513008,0.06166479561311178,0.06166479561311178
岳阳楼区,2020,5.792305084745763,6.078906778206843,0.2866016934610798,0.2866016934610798,5.9083676,0.11606254907381697,0.11606254907381697,5.824295479294856,0.03199039454909247,0.03199039454909247
沅江市,2021,6.480662575963184,6.4949568196036465,0.014294243640462057,0.014294243640462057,6.461404,-0.019258729222461746,0.019258729222461746,6.399648985106456,-0.08101359085672843,0.08101359085672843
松滋市,2014,5.747568756875688,5.916792438870529,0.1692236819948416,0.1692236819948416,5.630115,-0.11745372467964277,0.11745372467964277,5.557946694102312,-0.1896220627733758,0.1896220627733758
平江县,2015,6.046636281316028,6.081167815628875,0.03453153431284761,0.03453153431284761,6.03678,-0.009856400792346065,0.009856400792346065,5.865017086487903,-0.18161919482812472,0.18161919482812472
鼎城区,2014,5.5559000934500045,5.760591365389069,0.20469127193906456,0.20469127193906456,5.6174703,0.06157017098480999,0.06157017098480999,5.57303015023864,0.017130056788635883,0.017130056788635883
望城区,2018,6.979991974473316,6.926086906861847,-0.053905067611469626,0.053905067611469626,6.8558455,-0.12414652311833585,0.12414652311833585,6.9456577134019035,-0.0343342610714128,0.0343342610714128
赫山区,2017,6.514389332490139,6.619421752323668,0.10503241983352929,0.10503241983352929,6.5831876,0.06879824761850362,0.06879824761850362,6.471638316162511,-0.04275101632762812,0.04275101632762812
